2025-10-27 17:41:58,904 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2025-10-27 17:41:58,923 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2025-10-27 17:41:58,923 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2025-10-27 17:41:58,924 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2025-10-27 17:41:58,925 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2025-10-27 17:41:58,925 INFO  SwAddin.cs: 197 - Setting up callbacks
2025-10-27 17:41:58,926 INFO  SwAddin.cs: 201 - Setting up command manager
2025-10-27 17:41:58,926 INFO  SwAddin.cs: 204 - Adding command manager
2025-10-27 17:41:58,927 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2025-10-27 17:41:58,932 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2025-10-27 17:41:58,932 INFO  SwAddin.cs: 210 - Adding event handlers
2025-10-27 17:41:58,933 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2025-10-27 20:26:45,644 INFO  SwAddin.cs: 294 - Assembly export called for file ASY, ROBOTIC ARM, 2024
2025-10-27 20:26:47,241 INFO  SwAddin.cs: 313 - Saving assembly
2025-10-27 20:26:47,431 INFO  SwAddin.cs: 316 - Opening property manager
2025-10-27 20:26:47,438 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from ASY, ROBOTIC ARM, 2024
2025-10-27 20:26:47,441 INFO  ExportHelperExtension.cs: 1136 - Found 87 in ASY, ROBOTIC ARM, 2024
2025-10-27 20:26:47,441 INFO  ExportHelperExtension.cs: 1145 - Found 4 features of type [CoordSys] in ASY, ROBOTIC ARM, 2024
2025-10-27 20:26:47,441 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2025-10-27 20:26:47,442 INFO  ExportHelperExtension.cs: 1160 - 16 components to check
2025-10-27 20:26:47,443 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from M4210-1
2025-10-27 20:26:47,443 INFO  ExportHelperExtension.cs: 1136 - Found 42 in M4210-1
2025-10-27 20:26:47,443 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in M4210-1
2025-10-27 20:26:47,443 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from M4230-3
2025-10-27 20:26:47,443 INFO  ExportHelperExtension.cs: 1136 - Found 45 in M4230-3
2025-10-27 20:26:47,445 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in M4230-3
2025-10-27 20:26:47,445 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from M4230-1
2025-10-27 20:26:47,445 INFO  ExportHelperExtension.cs: 1136 - Found 45 in M4230-1
2025-10-27 20:26:47,445 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in M4230-1
2025-10-27 20:26:47,445 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from M4230-2
2025-10-27 20:26:47,446 INFO  ExportHelperExtension.cs: 1136 - Found 45 in M4230-2
2025-10-27 20:26:47,446 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in M4230-2
2025-10-27 20:26:47,446 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from M4210-2
2025-10-27 20:26:47,446 INFO  ExportHelperExtension.cs: 1136 - Found 42 in M4210-2
2025-10-27 20:26:47,447 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in M4210-2
