Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Chassis,0.564427546477429,-1.34173868409253,0.695744656327743,0,0,0,28.7018898926924,0.29472969043508,-0.000237109186572857,0.000497585627623536,0.332633986462551,0.00361706298855582,0.108945987176568,0,0,0,0,0,0,package://2025 ROVER ASY/meshes/Chassis.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://2025 ROVER ASY/meshes/Chassis.STL,,"ASY, FRAME 2024-1;ASY, SUSPENSION LEG RIGHT-1/ASY, ROCKER PIVOT-1/BEARING HOUSING, ROCKER PIVOT-1;ASY, SUSPENSION LEG RIGHT-1/ASY, ROCKER PIVOT-1/ROCKER SHAFT-2;ASY, SUSPENSION LEG LEFT-1/ASY, ROCKER PIVOT-1/ROCKER SHAFT-2;ASY, SUSPENSION LEG LEFT-1/ASY, ROCKER PIVOT-1/6343K41_Bearing Locknut-1;ASY, SUSPENSION LEG LEFT-1/ASY, ROCKER PIVOT-1/BEARING HOUSING, ROCKER PIVOT-1;ASY, SUSPENSION LEG RIGHT-1/ASY, ROCKER PIVOT-1/6343K41_Bearing Locknut-1;ASY, ROBOTIC ARM, 2024-1/J6 MOUNT, ROBOTIC ARM 2024-1;ASY, ROBOTIC ARM, 2024-1/ASY, GRIPPER, ROBOTIC ARM, 2024-1/91290A120_Alloy Steel Socket Head Screw-2;ASY, ROBOTIC ARM, 2024-1/ASY, GRIPPER, ROBOTIC ARM, 2024-1/91290A120_Alloy Steel Socket Head Screw-1;ASY, ROBOTIC ARM, 2024-1/ASY, GRIPPER, ROBOTIC ARM, 2024-1/ASY, LINEAR ACTUATOR-1;ASY, ROBOTIC ARM, 2024-1/CARBON FIBER TUBE, ROBOTIC ARM 2024-2;ASY, ROBOTIC ARM, 2024-1/J5 MOUNT, ROBOTIC ARM 2024-1;ASY, ROBOTIC ARM, 2024-1/FOREARM MOUNT, ROBOTIC ARM 2024-1;ASY, ROBOTIC ARM, 2024-1/M4210-3;ASY, ROBOTIC ARM, 2024-1/M4210-2;ASY, ROBOTIC ARM, 2024-1/M4210-1;ASY, ROBOTIC ARM, 2024-1/ASY, GRIPPER, ROBOTIC ARM, 2024-1/SMALL FINGER, LEFT, GRIPPER-1;ASY, ROBOTIC ARM, 2024-1/ASY, GRIPPER, ROBOTIC ARM, 2024-1/GRIPPER BODY-1;ASY, ROBOTIC ARM, 2024-1/ASY, GRIPPER, ROBOTIC ARM, 2024-1/90592A009_Steel Hex Nut-29;ASY, ROBOTIC ARM, 2024-1/ASY, GRIPPER, ROBOTIC ARM, 2024-1/693ZZ BEARING-25;ASY, ROBOTIC ARM, 2024-1/ASY, GRIPPER, ROBOTIC ARM, 2024-1/91290A123_Alloy Steel Socket Head Screw-11;ASY, ROBOTIC ARM, 2024-1/ASY, GRIPPER, ROBOTIC ARM, 2024-1/91290A120_Alloy Steel Socket Head Screw-8;ASY, ROBOTIC ARM, 2024-1/ASY, GRIPPER, ROBOTIC ARM, 2024-1/91290A079_Alloy Steel Socket Head Screw-6;ASY, ROBOTIC ARM, 2024-1/ASY, GRIPPER, ROBOTIC ARM, 2024-1/693ZZ BEARING-18;ASY, ROBOTIC ARM, 2024-1/ASY, GRIPPER, ROBOTIC ARM, 2024-1/90592A009_Steel Hex Nut-14;ASY, ROBOTIC ARM, 2024-1/ASY, GRIPPER, ROBOTIC ARM, 2024-1/693ZZ BEARING-17;ASY, ROBOTIC ARM, 2024-1/ASY, GRIPPER, ROBOTIC ARM, 2024-1/693ZZ BEARING-23;ASY, ROBOTIC ARM, 2024-1/ASY, GRIPPER, ROBOTIC ARM, 2024-1/693ZZ BEARING-16;ASY, ROBOTIC ARM, 2024-1/ASY, GRIPPER, ROBOTIC ARM, 2024-1/693ZZ BEARING-21;ASY, ROBOTIC ARM, 2024-1/ASY, GRIPPER, ROBOTIC ARM, 2024-1/693ZZ BEARING-20;ASY, ROBOTIC ARM, 2024-1/ASY, GRIPPER, ROBOTIC ARM, 2024-1/90592A009_Steel Hex Nut-12;ASY, ROBOTIC ARM, 2024-1/ASY, GRIPPER, ROBOTIC ARM, 2024-1/91290A136_Alloy Steel Socket Head Screw-7;ASY, ROBOTIC ARM, 2024-1/ASY, GRIPPER, ROBOTIC ARM, 2024-1/693ZZ BEARING-19;ASY, ROBOTIC ARM, 2024-1/ASY, GRIPPER, ROBOTIC ARM, 2024-1/91290A079_Alloy Steel Socket Head Screw-2;ASY, ROBOTIC ARM, 2024-1/ASY, GRIPPER, ROBOTIC ARM, 2024-1/90592A009_Steel Hex Nut-11;ASY, ROBOTIC ARM, 2024-1/ASY, GRIPPER, ROBOTIC ARM, 2024-1/91290A125_Black-Oxide Alloy Steel Socket Head Screw M3 x 25-4;ASY, ROBOTIC ARM, 2024-1/ASY, GRIPPER, ROBOTIC ARM, 2024-1/90592A009_Steel Hex Nut-15;ASY, ROBOTIC ARM, 2024-1/ASY, GRIPPER, ROBOTIC ARM, 2024-1/91290A136_Alloy Steel Socket Head Screw-6;ASY, ROBOTIC ARM, 2024-1/ASY, GRIPPER, ROBOTIC ARM, 2024-1/693ZZ BEARING-5;ASY, ROBOTIC ARM, 2024-1/ASY, GRIPPER, ROBOTIC ARM, 2024-1/693ZZ BEARING-3;ASY, ROBOTIC ARM, 2024-1/ASY, GRIPPER, ROBOTIC ARM, 2024-1;ASY, ROBOTIC ARM, 2024-1/GRIPPER MOUNT, ROBOTIC ARM 2024-1;ASY, ROBOTIC ARM, 2024-1/New Arm V10-1;ASY, ROBOTIC ARM, 2024-1/WRIST ROLL MOTOR MOUNT, ROBOTIC ARM 2024-1;ASY, ROBOTIC ARM, 2024-1/M4230-3;ASY, ROBOTIC ARM, 2024-1/M4230-2;ASY, ROBOTIC ARM, 2024-1/M4230-1;ASY, ROBOTIC ARM, 2024-1/J1 MOUNT, ROBOTIC ARM 2024-1;ASY, ROBOTIC ARM, 2024-1/BASE MOUNT, ROBOTIC ARM 2024-1;ASY, DIFFERENTIAL PIVOT-1;ASY, TIE ROD, 2024-1;ASY, TIE ROD, 2024-2",Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Left Rocker,-0.403919538320734,-0.22328405743632,-0.0599754094377352,0,0,0,3.06660121072908,0.00502297634649429,-0.000326382645979822,-7.81046500012958E-06,0.00557629680945313,3.72449829937343E-06,0.00218105190615842,0,0,0,0,0,0,package://2025 ROVER ASY/meshes/Left Rocker.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://2025 ROVER ASY/meshes/Left Rocker.STL,,"ASY, SUSPENSION LEG RIGHT-1/New attachment-1;ASY, SUSPENSION LEG RIGHT-1/ROCKER PIVOT PLATE, SUSPENSION LEG-2;ASY, SUSPENSION LEG RIGHT-1/CarbonFibreTube187-2;ASY, SUSPENSION LEG RIGHT-1/RockerAssem-2/ThreadedInsertCap-1;ASY, SUSPENSION LEG RIGHT-1/RockerPivotConnection-2;ASY, SUSPENSION LEG RIGHT-1/ASY, WHEEL HUB-5/WHEEL_BRACKET-1;ASY, SUSPENSION LEG RIGHT-1/CarbonFibreTube420-3;ASY, SUSPENSION LEG RIGHT-1/ASY, WHEEL HUB-5/NEMA_23_BLDC-1",Origin_Left Rocker,Axis_Left Rocker,Left Rocker,fixed,0.921912579825089,-1.22343460511792,0.50953409153941,1.57079632679495,0,1.57354730849476,Chassis,0,0,0,,,,,,,,,,,,
Left Front Wheel,0.0803810942366472,-1.1508428210405E-08,-8.40117669875795E-10,0,0,0,4.55283541763146,0.0362263462870138,1.31784966582649E-10,9.62051114092961E-12,0.0209493700321966,2.6525830143509E-10,0.0209493664179867,0,0,0,0,0,0,package://2025 ROVER ASY/meshes/Left Front Wheel.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://2025 ROVER ASY/meshes/Left Front Wheel.STL,,"ASY, SUSPENSION LEG RIGHT-1/ASY, WHEEL HUB-5/MANCHINED_Hub_E-2;ASY, SUSPENSION LEG RIGHT-1/ASY, WHEEL HUB-5/MANCHINED_Hub_I-2;ASY, SUSPENSION LEG RIGHT-1/ASY, WHEEL HUB-5/WHEEL, 2023-1",Origin_Left Front Wheel,Axis_Left Front Wheel,Left Front Wheel,fixed,-0.460241876269187,-0.251142676859366,0.00300000000003453,0.346894155603661,-1.57079631189374,0.962086590127429,Left Rocker,0,0,0,,,,,,,,,,,,
Left Bogie,0.171084437414008,0.0443669758238091,1.95219201537533E-06,0,0,0,5.54056536421925,0.00972244998543849,-8.13070142673459E-08,4.95885899684978E-12,0.00267244772802555,9.3085805446736E-07,0.00968308814470141,0,0,0,0,0,0,package://2025 ROVER ASY/meshes/Left Bogie.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://2025 ROVER ASY/meshes/Left Bogie.STL,,"ASY, SUSPENSION LEG RIGHT-1/RockerAssem-2/BearingCover-1;ASY, SUSPENSION LEG RIGHT-1/RockerAssem-2/RockerConnector-1;ASY, SUSPENSION LEG RIGHT-1/RockerAssem-2/98867A330_Steel Threaded on Both Ends Stud-2;ASY, SUSPENSION LEG RIGHT-1/CarbonFibreTube240-1;ASY, SUSPENSION LEG RIGHT-1/CarbonFibreTube240-2;ASY, SUSPENSION LEG RIGHT-1/ASY, WHEEL HUB-6/WHEEL_BRACKET-1;ASY, SUSPENSION LEG RIGHT-1/ASY, WHEEL HUB-4/WHEEL_BRACKET-1;ASY, SUSPENSION LEG RIGHT-1/ASY, WHEEL HUB-4/NEMA_23_BLDC-1;ASY, SUSPENSION LEG RIGHT-1/ASY, WHEEL HUB-6/NEMA_23_BLDC-1",Origin_Left Bogie,Axis_Left Bogie,Left Bogie,fixed,0.158205316010234,-0.0767617874886743,0.0304999999999972,-1.57079632679493,0,-1.56640478252846,Left Rocker,0,0,0,,,,,,,,,,,,
Left Bogie Wheel 1,9.64198340613898E-09,6.33892849322137E-09,0.0438050942366472,0,0,0,4.55283541763146,0.0209493689491762,1.67681002416487E-09,-1.10412150608683E-10,0.0209493675010071,-7.25880686701169E-11,0.0362263462870137,0,0,0,0,0,0,package://2025 ROVER ASY/meshes/Left Bogie Wheel 1.STL,1,1,1,1,0,0,0,0,0,0,package://2025 ROVER ASY/meshes/Left Bogie Wheel 1.STL,,"ASY, SUSPENSION LEG RIGHT-1/ASY, WHEEL HUB-4/WHEEL, 2023-1;ASY, SUSPENSION LEG RIGHT-1/ASY, WHEEL HUB-4/MANCHINED_Hub_E-2;ASY, SUSPENSION LEG RIGHT-1/ASY, WHEEL HUB-4/MANCHINED_Hub_I-2",Origin_Left Bogie Wheel 1,Axis_Left Bogie Wheel 1,Left Bogie Wheel 1,fixed,0.175945958234471,-0.0615759999999987,0.18423022948193,-1.57079632679488,-0.508707774402449,3.14159265358978,Left Bogie,0,0,0,,,,,,,,,,,,
Left Bogie Wheel 2,9.64198365593916E-09,6.33892827117677E-09,0.0438050942366475,0,0,0,4.55283541763146,0.0209493689491762,1.67681002503223E-09,-1.10412133246202E-10,0.0209493675010071,-7.25882837690516E-11,0.0362263462870137,0,0,0,0,0,0,package://2025 ROVER ASY/meshes/Left Bogie Wheel 2.STL,1,1,1,1,0,0,0,0,0,0,package://2025 ROVER ASY/meshes/Left Bogie Wheel 2.STL,,"ASY, SUSPENSION LEG RIGHT-1/ASY, WHEEL HUB-6/WHEEL, 2023-1;ASY, SUSPENSION LEG RIGHT-1/ASY, WHEEL HUB-6/MANCHINED_Hub_E-2;ASY, SUSPENSION LEG RIGHT-1/ASY, WHEEL HUB-6/MANCHINED_Hub_I-2",Origin_Left Bogie Wheel 2,Axis_Left Bogie Wheel 2,Left Bogie Wheel 2,fixed,0.175945958234468,-0.0615760000000021,-0.184230229481933,1.57079632679486,-1.06208855239245,0,Left Bogie,0,0,0,,,,,,,,,,,,
Right Rocker,0.404202972143678,-0.223239823890213,-0.0599754114865064,0,0,0,3.06660105538394,0.00502298872607975,0.000210045462857487,-3.33295110360578E-06,0.0055762841618886,2.58462289034438E-06,0.00218105182432725,0,0,0,0,0,0,package://2025 ROVER ASY/meshes/Right Rocker.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://2025 ROVER ASY/meshes/Right Rocker.STL,,"ASY, SUSPENSION LEG LEFT-1/New attachment-1;ASY, SUSPENSION LEG LEFT-1/CarbonFibreTube420-4;ASY, SUSPENSION LEG LEFT-1/ROCKER PIVOT PLATE, SUSPENSION LEG-2;ASY, SUSPENSION LEG LEFT-1/CarbonFibreTube187-2;ASY, SUSPENSION LEG LEFT-1/RockerPivotConnection-3;ASY, SUSPENSION LEG LEFT-1/RockerAssem-2/ThreadedInsertCap-1;ASY, SUSPENSION LEG LEFT-1/ASY, WHEEL HUB-5/WHEEL_BRACKET-1;ASY, SUSPENSION LEG LEFT-1/ASY, WHEEL HUB-5/NEMA_23_BLDC-1",Origin_Right Rocker,Axis_Right Rocker,Right Rocker,fixed,0.333333737020984,-1.22366239722167,0.509229992213948,1.5707963267949,0,-1.5735473084948,Chassis,0,0,0,,,,,,,,,,,,
Right Front Wheel,0.0803810942366472,-1.15084279328492E-08,-8.40118197231732E-10,0,0,0,4.55283541763146,0.0362263462870137,1.31784998769901E-10,9.62041618514809E-12,0.0209493700321966,2.6525830186877E-10,0.0209493664179867,0,0,0,0,0,0,package://2025 ROVER ASY/meshes/Right Front Wheel.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://2025 ROVER ASY/meshes/Right Front Wheel.STL,,"ASY, SUSPENSION LEG LEFT-1/ASY, WHEEL HUB-5/MANCHINED_Hub_E-2;ASY, SUSPENSION LEG LEFT-1/ASY, WHEEL HUB-5/MANCHINED_Hub_I-2;ASY, SUSPENSION LEG LEFT-1/ASY, WHEEL HUB-5/WHEEL, 2023-1",Origin_Right Front Wheel,Axis_Right Front Wheel,Right Front Wheel,fixed,0.460241876269232,-0.251142676859283,0.00300000000000022,0.261799387799056,-1.5707963267949,0,Right Rocker,0,0,0,,,,,,,,,,,,
Right Bogie,0.171084437358874,0.0443669758162707,1.9534833577417E-06,0,0,0,5.5405653649061,0.00972244998383798,-8.13030967750798E-08,-2.01586111322203E-11,0.00267244772242669,9.30840400495804E-07,0.00968308813416261,0,0,0,0,0,0,package://2025 ROVER ASY/meshes/Right Bogie.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://2025 ROVER ASY/meshes/Right Bogie.STL,,"ASY, SUSPENSION LEG LEFT-1/RockerAssem-2/BearingCover-1;ASY, SUSPENSION LEG LEFT-1/RockerAssem-2/RockerConnector-1;ASY, SUSPENSION LEG LEFT-1/RockerAssem-2/98867A330_Steel Threaded on Both Ends Stud-2;ASY, SUSPENSION LEG LEFT-1/CarbonFibreTube240-1;ASY, SUSPENSION LEG LEFT-1/ASY, WHEEL HUB-4/WHEEL_BRACKET-1;ASY, SUSPENSION LEG LEFT-1/ASY, WHEEL HUB-4/NEMA_23_BLDC-1;ASY, SUSPENSION LEG LEFT-1/CarbonFibreTube240-2;ASY, SUSPENSION LEG LEFT-1/ASY, WHEEL HUB-6/WHEEL_BRACKET-1;ASY, SUSPENSION LEG LEFT-1/ASY, WHEEL HUB-6/NEMA_23_BLDC-1",Origin_Right Bogie,Axis_Right Bogie,Right Bogie,fixed,-0.156139037771596,-0.0755688211914241,0.0304999999999996,-1.57079632679489,0,-1.56662951346645,Right Rocker,0,0,0,,,,,,,,,,,,
Right Bogie Wheel 1,9.64198398900606E-09,6.33892860424368E-09,0.0438050942366472,0,0,0,4.55283541763146,0.0209493689491762,1.67681003197112E-09,-1.10412006838393E-10,0.0209493675010071,-7.25881463210153E-11,0.0362263462870137,0,0,0,0,0,0,package://2025 ROVER ASY/meshes/Right Bogie Wheel 1.STL,1,1,1,1,0,0,0,0,0,0,package://2025 ROVER ASY/meshes/Right Bogie Wheel 1.STL,,"ASY, SUSPENSION LEG LEFT-1/ASY, WHEEL HUB-6/WHEEL, 2023-1;ASY, SUSPENSION LEG LEFT-1/ASY, WHEEL HUB-6/MANCHINED_Hub_E-2;ASY, SUSPENSION LEG LEFT-1/ASY, WHEEL HUB-6/MANCHINED_Hub_I-2",Origin_Right Bogie Wheel 1,Axis_Right Bogie Wheel 1,Right Bogie Wheel 1,fixed,0.175945958234469,-0.0615760000000018,-0.184230229481932,1.57079632679488,-1.06208855239245,0,Right Bogie,0,0,0,,,,,,,,,,,,
